Name,rate,stock,currentStock,outStock,Date
Acetaminophen,49,356,356,0,2024-10-12T02:51:18.668397
Albuterol,1,238,238,0,2024-10-12T02:51:18.678398
Amoxicillin,8,413,413,0,2024-10-12T02:51:18.685460
Atorvastatin,6,213,213,0,2024-10-12T02:51:18.692393
Amlodipine,90,41,41,0,2024-10-12T02:51:18.698394
Azithromycin,70,429,429,0,2024-10-12T02:51:18.707490
Aspirin,84,429,429,0,2024-10-12T02:51:18.714396
Metformin,27,27,27,0,2024-10-12T02:51:18.722524
Ibuprofen,5,371,371,0,2024-10-12T02:51:18.731393
Lisinopril,57,327,327,0,2024-10-12T02:51:18.739396
Simvastatin,19,130,130,0,2024-10-12T02:51:18.746397
Omeprazole,80,414,414,0,2024-10-12T02:51:18.754395
Levothyroxine,41,85,85,0,2024-10-12T02:51:18.763395
Hydrocodone/Acetaminophen,34,360,360,0,2024-10-12T02:51:18.770395
Furosemide,57,452,452,0,2024-10-12T02:51:18.777395
Gabapentin,8,168,168,0,2024-10-12T02:51:18.784444
Warfarin,59,433,433,0,2024-10-12T02:51:18.792396
Clopidogrel,35,64,64,0,2024-10-12T02:51:18.798394
Metoprolol,30,382,382,0,2024-10-12T02:51:18.806543
Insulin,33,89,89,0,2024-10-12T02:51:18.813396
Sertraline,27,437,437,0,2024-10-12T02:51:18.821394
Cetirizine,19,346,346,0,2024-10-12T02:51:18.828393
Fluoxetine,6,299,299,0,2024-10-12T02:51:18.837394
Prednisone,64,423,423,0,2024-10-12T02:51:18.845993
Citalopram,78,439,439,0,2024-10-12T02:51:18.852007
Doxycycline,81,274,274,0,2024-10-12T02:51:18.859031
Tamsulosin,33,425,425,0,2024-10-12T02:51:18.867007
Montelukast,10,423,423,0,2024-10-12T02:51:18.877647
Ranitidine,13,485,485,0,2024-10-12T02:51:18.884648
Clonazepam,67,238,238,0,2024-10-12T02:51:18.891644
Loratadine,100,9,9,0,2024-10-12T02:51:18.899641
Naproxen,41,152,152,0,2024-10-12T02:51:18.906657
Tramadol,75,173,173,0,2024-10-12T02:51:18.913926
Bisoprolol,55,74,74,0,2024-10-12T02:51:18.923908
Valsartan,50,398,398,0,2024-10-12T02:51:18.931896
Carvedilol,19,241,241,0,2024-10-12T02:51:18.937896
Bupropion,6,324,324,0,2024-10-12T02:51:18.945900
Allopurinol,23,288,288,0,2024-10-12T02:51:18.953167
Ciproflaxin,94,123,123,0,2024-10-12T02:51:18.961168
Meloxicam,44,378,378,0,2024-10-12T02:51:18.970404
Pregabalin,43,202,202,0,2024-10-12T02:51:18.977404
Lovastatin,47,432,432,0,2024-10-12T02:51:18.986406
Duloxetine,69,378,378,0,2024-10-12T02:51:18.993402
Fluticasone,72,36,36,0,2024-10-12T02:51:19.000742
Acyclovir,2,348,348,0,2024-10-12T02:51:19.010015
Nifedipine,77,361,361,0,2024-10-12T02:51:19.020019
Gabapentin,28,386,386,0,2024-10-12T02:51:19.029444
Dexamethasone,86,498,498,0,2024-10-12T02:51:19.035435
Diazepam,96,319,319,0,2024-10-12T02:51:19.045441
Verapamil,98,4,4,0,2024-10-12T02:51:19.052432
Phenobarbital,44,204,204,0,2024-10-12T02:51:19.060431
Chlorpheniramine,61,152,152,0,2024-10-12T02:51:19.066432
Azathioprine,20,482,482,0,2024-10-12T02:51:19.077439
Methylprednisolone,38,234,234,0,2024-10-12T02:51:19.083433
Nitrofurantoin,33,361,361,0,2024-10-12T02:51:19.089430
Metoclopramide,16,314,314,0,2024-10-12T02:51:19.096430
Rivaroxaban,28,305,305,0,2024-10-12T02:51:19.155757
Amiodarone,68,435,435,0,2024-10-12T02:51:19.163283
Spironolactone,27,415,415,0,2024-10-12T02:51:19.169233
Clonidine,28,308,308,0,2024-10-12T02:51:19.176636
Atenolol,7,452,452,0,2024-10-12T02:51:19.181607
Rosuvastatin,19,475,475,0,2024-10-12T02:51:19.188591
